area_type,availability,Location,Size,society,total_sqft,bath,balcony,Price,No. of Bedrooms,target_column_name
Dhaka,1-Feb,savar,6 BHK,Theanmp,,2,1,2951000,1,
Dhaka,2-Feb,savar,4 BHK,Coomee,,2,1,4264000,2,
Dhaka,3-Feb,savar,4 BHK,Coomee,,2,1,6698000,3,
Dhaka,4-Feb,savar,4 BHK,Coomee,,2,1,8100000,2,
Dhaka,5-Feb,savar,4 BHK,Coomee,,2,1,4500000,2,
Dhaka,6-Feb,savar,4 BHK,Coomee,,2,1,4928000,2,
Dhaka,7-Feb,savar,4 BHK,Coomee,,2,1,6100000,2,
Dhaka,8-Feb,savar,4 BHK,Coomee,,2,1,6151000,2,
Dhaka,9-Feb,savar,4 BHK,Soiewre,,2,1,5426000,2,
Dhaka,10-Feb,savar,5 BHK,Soiewre,,2,1,13000000,3,
Dhaka,11-Feb,savar,2 BHK,Soiewre,,2,1,4850000,2,
Dhaka,12-Feb,savar,4 BHK,Soiewre,,2,1,4604000,3,
Dhaka,13-Feb,savar,4 BHK,Soiewre,,2,1,3607000,3,
Dhaka,14-Feb,savar,3 BHK,Soiewre,,2,1,16500000,3,
Dhaka,15-Feb,savar,4 BHK,Soiewre,,2,1,4840000,3,
Dhaka,16-Feb,savar,4 BHK,Theanmp,,2,1,25800000,3,
Dhaka,17-Feb,savar,4 BHK,Theanmp,,2,1,51000000,3,
Dhaka,18-Feb,savar,2 BHK,Theanmp,,2,1,4809000,2,
Dhaka,19-Feb,savar,2 BHK,Theanmp,,2,1,5070000,2,
Dhaka,20-Feb,savar,2 BHK,Theanmp,,2,1,10500000,3,
Dhaka,21-Feb,bashundhara,1 BHK,Theanmp,,2,1,6850000,2,
Dhaka,22-Feb,bashundhara,2 BHK,Theanmp,,2,1,4580000,2,
Dhaka,23-Feb,bashundhara,2 BHK,Theanmp,,2,1,5559000,3,
Dhaka,24-Feb,bashundhara,3 BHK,Theanmp,,2,1,4723000,2,
Dhaka,25-Feb,bashundhara,2 BHK,Theanmp,,2,1,4465000,3,
Dhaka,26-Feb,bashundhara,3 BHK,Theanmp,,2,1,8954000,2,
Dhaka,27-Feb,bashundhara,3 BHK,Theanmp,,2,1,4000000,2,
Dhaka,28-Feb,bashundhara,3 BHK,Theanmp,,2,1,5400000,2,
Dhaka,1-Mar,bashundhara,4 BHK,Theanmp,,2,1,8784000,2,
Dhaka,2-Mar,bashundhara,5 BHK,Theanmp,,2,1,7900000,2,
Dhaka,3-Mar,bashundhara,2 BHK,Theanmp,,2,1,4781000,3,
Dhaka,4-Mar,bashundhara,3 BHK,Theanmp,,2,1,15000000,3,
Dhaka,5-Mar,bashundhara,4 BHK,Theanmp,,2,1,4700000,2,
Dhaka,6-Mar,bashundhara,5 BHK,Theanmp,,2,1,7767000,3,
Dhaka,7-Mar,bashundhara,2 BHK,Theanmp,,2,1,6487000,2,
Dhaka,8-Mar,bashundhara,2 BHK,Theanmp,,2,1,14000000,3,
Dhaka,9-Mar,bashundhara,2 BHK,Theanmp,,2,1,8758000,3,
Dhaka,10-Mar,bashundhara,2 BHK,Theanmp,,2,1,13100000,3,
Dhaka,11-Mar,bashundhara,3 BHK,Theanmp,,2,1,5500000,2,
Dhaka,12-Mar,bashundhara,3 BHK,Theanmp,,2,1,4900000,2,
Dhaka,13-Mar,bashundhara,2 BHK,Theanmp,,2,1,8779000,2,
Dhaka,14-Mar,bashundhara,2 BHK,Theanmp,,2,1,22000000,3,
Dhaka,15-Mar,bashundhara,3 BHK,Theanmp,,2,1,5329000,2,
Dhaka,16-Mar,bashundhara,2 BHK,Theanmp,,2,1,7500000,2,
Dhaka,17-Mar,bashundhara,2 BHK,Theanmp,,2,1,3779999,2,
Dhaka,18-Mar,bashundhara,2 BHK,Theanmp,,2,1,9000000,2,
Dhaka,19-Mar,bashundhara,2 BHK,Theanmp,,2,1,8218000,3,
Dhaka,20-Mar,bashundhara,2 BHK,Theanmp,,2,1,8656000,3,
Dhaka,21-Mar,bashundhara,2 BHK,Theanmp,,2,1,7520000,3,
Dhaka,22-Mar,bashundhara,2 BHK,Theanmp,,2,1,6148000,3,
Dhaka,23-Mar,bashundhara,2 BHK,Theanmp,,2,1,11000000,3,
Dhaka,24-Mar,bashundhara,3 BHK,Theanmp,,2,1,11399999,3,
Dhaka,25-Mar,bashundhara,3 BHK,Theanmp,,2,1,13000000,4,
Dhaka,26-Mar,bashundhara,3 BHK,Theanmp,,2,1,11299999,3,
Dhaka,27-Mar,bashundhara,3 BHK,Theanmp,,2,1,4900000,2,
Dhaka,28-Mar,bashundhara,6 BHK,Theanmp,,2,1,5002000,2,
Dhaka,29-Mar,bashundhara,3 BHK,Theanmp,,2,1,5036000,2,
Dhaka,30-Mar,bashundhara,3 BHK,Theanmp,,2,1,6736000,2,
Dhaka,31-Mar,bashundhara,3 BHK,Theanmp,,2,1,8233000,3,
Dhaka,1-Apr,bashundhara,4 BHK,Theanmp,,2,1,6761000,3,
Dhaka,2-Apr,bashundhara,5 BHK,Theanmp,,2,1,6611000,2,
Dhaka,3-Apr,bashundhara,5 BHK,Theanmp,,2,1,6287000,2,
Dhaka,4-Apr,bashundhara,4 BHK,Theanmp,,2,1,6437000,2,
Dhaka,5-Apr,bashundhara,4 BHK,Theanmp,,2,1,6112000,2,
Dhaka,6-Apr,bashundhara,3 BHK,Theanmp,,2,1,6487000,2,
Dhaka,7-Apr,bashundhara,3 BHK,Theanmp,,2,1,9412000,2,
Dhaka,8-Apr,bashundhara,2 BHK,Theanmp,,2,1,10500000,3,
Dhaka,9-Apr,bashundhara,2 BHK,Theanmp,,2,1,10200000,3,
Dhaka,10-Apr,bashundhara,3 BHK,Theanmp,,2,1,4722000,2,
Dhaka,11-Apr,bashundhara,2 BHK,Theanmp,,2,1,4586000,2,
Dhaka,12-Apr,bashundhara,2 BHK,Coomee,,2,1,4582000,2,
Dhaka,13-Apr,bashundhara,5 BHK,Coomee,,2,1,6787000,3,
Dhaka,14-Apr,bashundhara,9 BHK,NaN,,2,1,9319000,3,
Dhaka,15-Apr,bashundhara,6 BHK,NaN,,2,1,6892000,2,
Dhaka,16-Apr,bashundhara,9 BHK,NaN,,2,1,9277000,2,
Dhaka,17-Apr,bashundhara,1 BHK,NaN,,2,1,11600000,3,
Dhaka,18-Apr,bashundhara,1 BHK,NaN,,2,1,10900000,3,
Dhaka,19-Apr,bashundhara,1 BHK,NaN,,2,1,10500000,3,
Dhaka,20-Apr,bashundhara,2 BHK,Theanmp,,2,1,9859000,3,
Dhaka,21-Apr,bashundhara,6 BHK,NaN,,2,1,6973999,3,
Dhaka,22-Apr,bashundhara,3 BHK,Soiewre,,2,1,5705000,2,
Dhaka,23-Apr,bashundhara,5 BHK,NaN,,2,1,5772000,2,
Dhaka,24-Apr,bashundhara,6 BHK,NaN,,2,1,6720999,3,
Dhaka,25-Apr,bashundhara,4 BHK,Theanmp,,2,1,6761000,3,
Dhaka,26-Apr,bashundhara,5 BHK,Theanmp,,2,1,5677000,2,
Dhaka,27-Apr,bashundhara,2 BHK,Theanmp,,2,1,5384000,2,
Dhaka,28-Apr,bashundhara,3 BHK,Theanmp,,2,1,9141000,3,
Dhaka,29-Apr,bashundhara,5 BHK,Theanmp,,2,1,9522000,3,
Dhaka,30-Apr,bashundhara,0 BHK,Theanmp,,2,1,10000000,3,
Dhaka,1-May,bashundhara,7 BHK,NaN,,2,1,7211000,2,
Dhaka,2-May,bashundhara,0 BHK,Soiewre,,2,1,8514000,3,
Dhaka,3-May,bashundhara,1 BHK,NaN,,2,1,10300000,3,
Dhaka,4-May,bashundhara,7 BHK,NaN,,2,1,7783000,2,
Dhaka,5-May,bashundhara,5 BHK,Theanmp,,2,1,7429000,2,
Dhaka,6-May,bashundhara,2 BHK,Theanmp,,2,1,7809999,2,
Dhaka,7-May,bashundhara,4 BHK,Theanmp,,2,1,6250000,2,
Dhaka,8-May,bashundhara,4 BHK,Theanmp,,2,1,3797999,1,
Dhaka,9-May,bashundhara,2 BHK,Theanmp,,2,1,5034000,2,
Dhaka,10-May,bashundhara,3 BHK,Theanmp,,2,1,7897000,3,
Dhaka,11-May,bashundhara,5 BHK,NaN,,2,1,5327000,2,
Dhaka,12-May,bashundhara,,Soiewre,,2,1,8269000,3,
Dhaka,13-May,bashundhara,5 BHK,NaN,,2,1,5958000,2,
Dhaka,14-May,bashundhara,6 BHK,NaN,,2,1,6900000,2,
Dhaka,15-May,bashundhara,,Theanmp,,2,1,9700000,3,
Dhaka,16-May,bashundhara,,Theanmp,,2,1,7300000,2,
Dhaka,17-May,bashundhara,,Theanmp,,2,1,9180000,3,
Dhaka,18-May,bashundhara,,Theanmp,,2,1,6986000,2,
Dhaka,19-May,bashundhara,,Theanmp,,2,1,6081000,2,
Dhaka,20-May,bashundhara,,Theanmp,,2,1,7891000,3,
Dhaka,21-May,bashundhara,6 BHK,NaN,,2,1,6070000,2,
Dhaka,22-May,farmgate,,Soiewre,,2,1,5961000,2,
Dhaka,23-May,farmgate,8 BHK,NaN,,2,1,8442000,3,
Dhaka,24-May,farmgate,9 BHK,NaN,,2,1,9003000,3,
Dhaka,25-May,farmgate,,Theanmp,,2,1,5923000,2,
Dhaka,26-May,farmgate,,Theanmp,,2,1,6174000,2,
Dhaka,27-May,farmgate,,Theanmp,,2,1,5994000,2,
Dhaka,28-May,farmgate,,Theanmp,,2,1,8180000,3,
Dhaka,29-May,farmgate,,Theanmp,,2,1,7662000,3,
Dhaka,30-May,farmgate,,Theanmp,,2,1,8763000,3,
Dhaka,31-May,farmgate,8 BHK,NaN,,2,1,8957000,3,
Dhaka,1-Jun,farmgate,,Soiewre,,2,1,6581000,2,
Dhaka,2-Jun,farmgate,9 BHK,NaN,,2,1,9640000,3,
Dhaka,3-Jun,farmgate,6 BHK,NaN,,2,1,6664000,2,
Dhaka,4-Jun,farmgate,,Theanmp,,2,1,6631000,2,
Dhaka,5-Jun,farmgate,,Theanmp,,2,1,10000000,3,
Dhaka,6-Jun,farmgate,,Theanmp,,2,1,9879000,3,
Dhaka,7-Jun,farmgate,,Theanmp,,2,1,8529000,3,
Dhaka,8-Jun,farmgate,,Theanmp,,2,1,7252000,2,
Dhaka,9-Jun,farmgate,,Theanmp,,2,1,9037000,3,
Dhaka,10-Jun,farmgate,7 BHK,NaN,,2,1,7298000,2,
Dhaka,11-Jun,farmgate,,Soiewre,,2,1,10400000,3,
Dhaka,12-Jun,farmgate,9 BHK,NaN,,2,1,9520000,3,
Dhaka,13-Jun,farmgate,7 BHK,NaN,,2,1,7229000,2,
Dhaka,14-Jun,farmgate,,Theanmp,,2,1,9887000,3,
Dhaka,15-Jun,farmgate,,Theanmp,,2,1,10300000,3,
Dhaka,16-Jun,farmgate,,Theanmp,,2,1,7159999,2,
Dhaka,17-Jun,farmgate,,Theanmp,,2,1,10700000,3,
Dhaka,18-Jun,farmgate,,Theanmp,,2,1,8900000,3,
Dhaka,19-Jun,farmgate,,Theanmp,,2,1,9382000,3,
Dhaka,20-Jun,farmgate,,Theanmp,,2,1,7344000,2,
Dhaka,21-Jun,farmgate,,Theanmp,,2,1,7091000,2,
Dhaka,22-Jun,farmgate,,Theanmp,,2,1,6279000,3,
Dhaka,23-Jun,farmgate,,Theanmp,,2,1,5306000,2,
Dhaka,24-Jun,farmgate,,Theanmp,,2,1,6655000,3,
Dhaka,25-Jun,farmgate,,Theanmp,,2,1,5195000,2,
Dhaka,26-Jun,farmgate,,Theanmp,,2,1,5483000,2,
Dhaka,27-Jun,farmgate,,Theanmp,,2,1,5527000,2,
Dhaka,28-Jun,farmgate,,Theanmp,,2,1,6412000,3,
Dhaka,29-Jun,farmgate,,Theanmp,,2,1,6036000,3,
Dhaka,30-Jun,farmgate,,Theanmp,,2,1,4930000,2,
Dhaka,1-Jul,farmgate,,Theanmp,,2,1,6611000,3,
Dhaka,2-Jul,farmgate,,Theanmp,,2,1,5173000,2,
Dhaka,3-Jul,farmgate,,Theanmp,,2,1,6058000,3,
Dhaka,4-Jul,farmgate,,Theanmp,,2,1,5085000,2,
Dhaka,5-Jul,farmgate,,Theanmp,,2,1,6434000,3,
Dhaka,6-Jul,farmgate,,Theanmp,,2,1,5262000,2,
Dhaka,7-Jul,farmgate,,Theanmp,,2,1,6681999,3,
Dhaka,8-Jul,farmgate,,Theanmp,,2,1,6525000,3,
Dhaka,9-Jul,farmgate,,Theanmp,,2,1,6997000,3,
Dhaka,10-Jul,farmgate,,Theanmp,,2,1,6097000,3,
Dhaka,11-Jul,farmgate,,Theanmp,,2,1,6120000,3,
Dhaka,12-Jul,farmgate,,Theanmp,,2,1,6142000,3,
Dhaka,13-Jul,farmgate,,Theanmp,,2,1,6727000,3,
Dhaka,14-Jul,farmgate,,Theanmp,,2,1,6277000,3,
Dhaka,15-Jul,farmgate,,Theanmp,,2,1,6750000,3,
Dhaka,16-Jul,farmgate,,Theanmp,,2,1,6456999,3,
Dhaka,17-Jul,farmgate,,Theanmp,,2,1,5240000,3,
Dhaka,18-Jul,farmgate,,Theanmp,,2,1,4120000,2,
Dhaka,19-Jul,farmgate,,Theanmp,,2,1,7012000,3,
Dhaka,20-Jul,farmgate,,Theanmp,,2,1,8195000,3,
Dhaka,21-Jul,farmgate,,Theanmp,,2,1,8050000,3,
Dhaka,22-Jul,farmgate,,Theanmp,,2,1,5900000,2,
Dhaka,23-Jul,farmgate,,Theanmp,,2,1,8100000,3,
Dhaka,24-Jul,farmgate,,Theanmp,,2,1,6400000,2,
Dhaka,25-Jul,farmgate,,Theanmp,,2,1,6275000,2,
Dhaka,26-Jul,farmgate,,Theanmp,,2,1,14400000,3,
Dhaka,27-Jul,farmgate,,Theanmp,,2,1,13700000,3,
Dhaka,28-Jul,farmgate,,Theanmp,,2,1,11399999,3,
Dhaka,29-Jul,farmgate,,Theanmp,,2,1,4500000,2,
Dhaka,30-Jul,farmgate,,Theanmp,,2,1,29600000,4,
Dhaka,31-Jul,farmgate,,Theanmp,,2,1,8800000,2,
Dhaka,1-Aug,farmgate,,Theanmp,,2,1,15400000,3,
Dhaka,2-Aug,farmgate,,Theanmp,,2,1,11000000,3,
Dhaka,3-Aug,farmgate,,Theanmp,,2,1,9122000,3,
Dhaka,4-Aug,farmgate,,Theanmp,,2,1,5267000,3,
Dhaka,5-Aug,farmgate,,Theanmp,,2,1,3507000,2,
Dhaka,6-Aug,farmgate,,Theanmp,,2,1,4816000,3,
Dhaka,7-Aug,farmgate,,Theanmp,,2,1,4312000,2,
Dhaka,8-Aug,farmgate,,Theanmp,,2,1,5295000,3,
Dhaka,9-Aug,farmgate,,Theanmp,,2,1,3696000,2,
Dhaka,10-Aug,farmgate,,Theanmp,,2,1,4140000,2,
Dhaka,11-Aug,farmgate,,Theanmp,,2,1,3832000,2,
Dhaka,12-Aug,farmgate,,Theanmp,,2,1,3377000,2,
Dhaka,13-Aug,farmgate,,Coomee,,2,1,4560000,3,
Dhaka,14-Aug,farmgate,,Coomee,,2,1,5015000,3,
Dhaka,15-Aug,farmgate,,Soiewre,,2,1,3769000,2,
Dhaka,16-Aug,farmgate,,Soiewre,,2,1,3447000,2,
Dhaka,17-Aug,farmgate,,Soiewre,,2,1,4956000,3,
Dhaka,18-Aug,farmgate,,Soiewre,,2,1,5323000,3,
Dhaka,19-Aug,farmgate,,Soiewre,,2,1,3954999,2,
Dhaka,20-Aug,Mohammadpur,,Soiewre,,2,1,3419000,2,
Dhaka,21-Aug,Mohammadpur,,Soiewre,,2,1,5351000,3,
Dhaka,22-Aug,Mohammadpur,,Soiewre,,2,1,4434000,3,
Dhaka,23-Aug,Mohammadpur,,Soiewre,,2,1,7837000,3,
Dhaka,24-Aug,Mohammadpur,,Soiewre,,2,1,9834000,3,
Dhaka,25-Aug,Mohammadpur,,Soiewre,,2,1,8298999,3,
Dhaka,26-Aug,Mohammadpur,,Soiewre,,2,1,8728000,3,
Dhaka,27-Aug,Mohammadpur,,Soiewre,,2,1,9453000,3,
Dhaka,28-Aug,Mohammadpur,,Soiewre,,2,1,15000000,2,
Dhaka,29-Aug,Mohammadpur,,Soiewre,,2,1,8900000,1,
Dhaka,30-Aug,Mohammadpur,,Soiewre,,2,1,14400000,2,
Dhaka,31-Aug,Mohammadpur,,Soiewre,,2,1,12700000,2,
Dhaka,1-Sep,Mohammadpur,,Soiewre,,2,1,12500000,3,
Dhaka,2-Sep,Mohammadpur,,Soiewre,,2,1,20099999,4,
Dhaka,3-Sep,Mohammadpur,,Soiewre,,2,1,18800000,3,
Dhaka,4-Sep,Mohammadpur,,Soiewre,,2,1,13700000,2,
Dhaka,5-Sep,Mohammadpur,,Soiewre,,2,1,18900000,3,
Dhaka,6-Sep,Mohammadpur,,Soiewre,,2,1,8500000,3,
Dhaka,7-Sep,Mohammadpur,,Soiewre,,2,1,12000000,3,
Dhaka,8-Sep,Mohammadpur,,Soiewre,,2,1,9000000,3,
Dhaka,9-Sep,Mohammadpur,,Soiewre,,2,1,9300000,3,
Dhaka,10-Sep,Mohammadpur,,Soiewre,,2,1,11000000,3,
Dhaka,11-Sep,Mohammadpur,,Soiewre,,2,1,12000000,3,
Dhaka,12-Sep,Mohammadpur,,Soiewre,,2,1,18000000,3,
Dhaka,13-Sep,Mohammadpur,,Soiewre,,2,1,29300000,4,
Dhaka,14-Sep,Mohammadpur,,Soiewre,,2,1,22799999,3,
Dhaka,15-Sep,Mohammadpur,,Soiewre,,2,1,3200000,1,
Dhaka,16-Sep,Mohammadpur,,Soiewre,,2,1,11000000,2,
Dhaka,17-Sep,Mohammadpur,,Soiewre,,2,1,9800000,3,
Dhaka,18-Sep,Mohammadpur,,Soiewre,,2,1,42500000,4,
Dhaka,19-Sep,Mohammadpur,,Soiewre,,2,1,13500000,3,
Dhaka,20-Sep,Mohammadpur,,Soiewre,,2,1,15600000,3,
Dhaka,21-Sep,Mohammadpur,,Soiewre,,2,1,18900000,3,
Dhaka,22-Sep,Mohammadpur,1 BHK,NaN,,2,1,15400000,2,
Dhaka,23-Sep,Mohammadpur,1 BHK,NaN,,2,1,12300000,2,
Dhaka,24-Sep,Mohammadpur,6 BHK,NaN,,2,1,6845999,2,
Dhaka,25-Sep,Mohammadpur,9 BHK,NaN,,2,1,9173000,3,
Dhaka,26-Sep,Mohammadpur,9 BHK,NaN,,2,1,9471000,3,
Dhaka,27-Sep,Mohammadpur,7 BHK,NaN,,2,1,7247000,2,
Dhaka,28-Sep,Mohammadpur,5 BHK,NaN,,2,1,5599000,2,
Dhaka,29-Sep,Mohammadpur,1 BHK,NaN,,2,1,11800000,1,
Dhaka,30-Sep,Mohammadpur,4 BHK,NaN,,2,1,4815000,2,
Dhaka,1-Oct,Mohammadpur,4 BHK,NaN,,2,1,4880000,2,
Dhaka,2-Oct,Mohammadpur,5 BHK,NaN,,2,1,5050000,2,
Dhaka,3-Oct,Mohammadpur,4 BHK,NaN,,2,1,4619000,2,
Dhaka,4-Oct,Mohammadpur,4 BHK,NaN,,2,1,4785000,2,
Dhaka,5-Oct,Mohammadpur,4 BHK,NaN,,2,1,4972000,2,
Dhaka,6-Oct,Mohammadpur,4 BHK,NaN,,2,1,4737000,2,
Dhaka,7-Oct,Mohammadpur,4 BHK,NaN,,2,1,4854000,2,
Dhaka,8-Oct,Mohammadpur,2 BHK,NaN,,2,1,28300000,4,
Dhaka,9-Oct,Mohammadpur,2 BHK,NaN,,2,1,21400000,3,
Dhaka,10-Oct,Mohammadpur,2 BHK,NaN,,2,1,23500000,3,
Dhaka,11-Oct,Mohammadpur,2 BHK,NaN,,2,1,29900000,4,
Dhaka,12-Oct,Mohammadpur,9 BHK,NaN,,2,1,9200000,2,
Dhaka,13-Oct,Mohammadpur,8 BHK,NaN,,2,1,8000000,2,
Dhaka,14-Oct,Mohammadpur,9 BHK,NaN,,2,1,9200000,2,
Dhaka,15-Oct,Mohammadpur,,,,2,1,9300000,2,
Dhaka,16-Oct,Mohammadpur,,,,2,1,7900000,2,
Dhaka,17-Oct,Mohammadpur,,,,2,1,9100000,2,
Dhaka,18-Oct,Mohammadpur,,,,2,1,9000000,2,
Dhaka,19-Oct,Mohammadpur,,,,2,1,7900000,2,
Dhaka,20-Oct,Mohammadpur,,,,2,1,7800000,2,
Dhaka,21-Oct,Mohammadpur,,,,2,1,9100000,2,
Dhaka,22-Oct,Mohammadpur,,,,2,1,9000000,2,
Dhaka,23-Oct,Mohammadpur,,,,2,1,8800000,2,
Dhaka,24-Oct,Mohammadpur,,,,2,1,3990000,3,
Dhaka,25-Oct,Mohammadpur,,,,2,1,4021000,3,
Dhaka,26-Oct,Mohammadpur,,,,2,1,4088000,3,
Dhaka,27-Oct,Mohammadpur,,,,2,1,9060000,2,
Dhaka,28-Oct,Mohammadpur,,,,2,1,8644000,2,
Dhaka,29-Oct,Mohammadpur,,,,2,1,8836000,2,
Dhaka,30-Oct,Mohammadpur,,,,2,1,10200000,3,
Dhaka,31-Oct,Mohammadpur,,,,2,1,8528000,2,
Dhaka,1-Nov,Mohammadpur,,,,2,1,8516000,2,
Dhaka,2-Nov,Mohammadpur,,,,2,1,8804000,2,
Dhaka,3-Nov,Mohammadpur,,,,2,1,9910000,3,
Dhaka,4-Nov,Mohammadpur,,,,2,1,7634000,3,
Dhaka,5-Nov,Mohammadpur,,,,2,1,5970000,2,
Dhaka,6-Nov,Mohammadpur,,,,2,1,7675000,3,
Dhaka,7-Nov,Mohammadpur,,,,2,1,5702000,2,
Dhaka,8-Nov,Mohammadpur,,,,2,1,6210000,2,
Dhaka,9-Nov,Mohammadpur,,,,2,1,2520000,2,
Dhaka,10-Nov,Mohammadpur,,,,2,1,3304000,3,
Dhaka,11-Nov,Mohammadpur,,,,2,1,3010000,3,
Dhaka,12-Nov,Mohammadpur,,,,2,1,2800000,2,
Dhaka,13-Nov,Mohammadpur,,,,2,1,2464000,2,
Dhaka,14-Nov,Mohammadpur,,,,2,1,5557000,2,
Dhaka,15-Nov,Mohammadpur,,,,2,1,11900000,3,
Dhaka,16-Nov,Mohammadpur,,,,2,1,7738000,3,
Dhaka,17-Nov,Mohammadpur,,,,2,1,6354000,2,
Dhaka,18-Nov,Mohammadpur,,,,2,1,2814000,1,
Dhaka,19-Nov,Mohammadpur,,,,2,1,5463000,2,
Dhaka,20-Nov,Mohammadpur,,,,2,1,7456999,3,
Dhaka,21-Nov,Mohammadpur,,,,2,1,5416000,2,
Dhaka,22-Nov,Mohammadpur,,,,2,1,11700000,3,
Dhaka,23-Nov,Mohammadpur,,,,2,1,5604000,2,
Dhaka,24-Nov,Mohammadpur,,,,2,1,7175000,3,
Dhaka,25-Nov,Mohammadpur,,,,2,1,7504000,3,
Dhaka,26-Nov,Mohammadpur,,,,2,1,5628000,2,
Dhaka,27-Nov,Mohammadpur,,,,2,1,5200000,2,
Dhaka,28-Nov,Mohammadpur,,,,2,1,5200000,2,
Dhaka,29-Nov,Mohammadpur,,,,2,1,6385000,2,
Dhaka,30-Nov,Mohammadpur,,,,2,1,6531999,2,
Dhaka,1-Dec,Mohammadpur,,,,2,1,9457000,3,
Dhaka,2-Dec,Mohammadpur,,,,2,1,9035000,3,
Dhaka,3-Dec,Mohammadpur,,,,2,1,6662000,2,
Dhaka,4-Dec,Mohammadpur,,,,2,1,7181999,2,
Dhaka,5-Dec,Mohammadpur,,,,2,1,7377000,2,
Dhaka,6-Dec,Mohammadpur,,,,2,1,7125000,3,
Dhaka,7-Dec,Mohammadpur,,,,2,1,6389000,2,
Dhaka,8-Dec,Mohammadpur,,,,2,1,6459000,2,
Dhaka,9-Dec,Mohammadpur,,,,2,1,11800000,3,
Dhaka,10-Dec,Mohammadpur,,,,2,1,11500000,3,
Dhaka,11-Dec,Mohammadpur,,,,2,1,7920000,2,
Dhaka,12-Dec,Mohammadpur,,,,2,1,10700000,3,
Dhaka,13-Dec,Mohammadpur,,,,2,1,10600000,3,
Dhaka,14-Dec,Mohammadpur,,,,2,1,8464000,2,
Dhaka,15-Dec,Mohammadpur,,,,2,1,8184000,2,
Dhaka,16-Dec,Mohammadpur,,,,2,1,10100000,3,
Dhaka,17-Dec,Mohammadpur,,,,2,1,8178000,2,
Dhaka,18-Dec,Mohammadpur,,,,2,1,11299999,3,
